Id,SalePrice
1461,128278.74
1462,157524.78
1463,185768.97
1464,184934.84
1465,185500.66
1466,179547.48
1467,180703.72
1468,169711.96
1469,185628.24
1470,124180.56
1471,184979.58
1472,108866.04
1473,109662.40
1474,168532.72
1475,126778.88
1476,391477.35
1477,251184.31
1478,300032.24
1479,244171.78
1480,466405.51
1481,318542.08
1482,200420.47
1483,170220.05
1484,165043.70
1485,173806.64
1486,191453.00
1487,300590.42
1488,242935.57
1489,184019.38
1490,193294.79
1491,185160.71
1492,96706.28
1493,198125.87
1494,301564.99
1495,310182.34
1496,220384.00
1497,185027.27
1498,151781.94
1499,156023.38
1500,154533.28
1501,166862.07
1502,153584.51
1503,292169.67
1504,237322.76
1505,203869.63
1506,191538.79
1507,245776.15
1508,209324.49
1509,162960.58
1510,152347.01
1511,144226.00
1512,164792.05
1513,166602.46
1514,190515.19
1515,184530.77
1516,169847.62
1517,156859.62
1518,152788.78
1519,215352.71
1520,140825.16
1521,138285.62
1522,180327.72
1523,121176.57
1524,123972.12
1525,129393.27
1526,134227.88
1527,99867.49
1528,132928.58
1529,134810.26
1530,179628.78
1531,154648.14
1532,107949.36
1533,145958.32
1534,124546.56
1535,153743.00
1536,123123.03
1537,100449.87
1538,159771.73
1539,218620.13
1540,126433.57
1541,155760.00
1542,144863.51
1543,210524.21
1544,74999.44
1545,115312.18
1546,146787.12
1547,152455.58
1548,132732.79
1549,120413.78
1550,156575.25
1551,132563.11
1552,159825.49
1553,128778.26
1554,123480.52
1555,183479.90
1556,118021.82
1557,108837.12
1558,98753.21
1559,124721.46
1560,172240.29
1561,150285.17
1562,130529.17
1563,131321.37
1564,180770.41
1565,161477.24
1566,218599.06
1567,85290.34
1568,229013.97
1569,143439.92
1570,139435.90
1571,133558.48
1572,145814.90
1573,231034.47
1574,142704.01
1575,205762.80
1576,215728.37
1577,180566.45
1578,143227.88
1579,143815.38
1580,192124.65
1581,133637.18
1582,135577.40
1583,333756.26
1584,225990.53
1585,136971.21
1586,81187.07
1587,111828.08
1588,147814.54
1589,93871.76
1590,135350.80
1591,102467.31
1592,129427.54
1593,129800.64
1594,160717.15
1595,137725.02
1596,218343.90
1597,178897.21
1598,191538.28
1599,188160.83
1600,191042.89
1601,89214.74
1602,122058.18
1603,96983.68
1604,279731.78
1605,277159.65
1606,176533.51
1607,200460.01
1608,199442.22
1609,176685.91
1610,155209.43
1611,156787.88
1612,161990.15
1613,178450.05
1614,131020.55
1615,91944.55
1616,89512.18
1617,95168.59
1618,128364.74
1619,139755.13
1620,201969.47
1621,142908.08
1622,146284.92
1623,310245.92
1624,206086.58
1625,133667.62
1626,192026.41
1627,189058.33
1628,292738.72
1629,182731.92
1630,301863.63
1631,216599.99
1632,242726.54
1633,167827.91
1634,178309.62
1635,173838.59
1636,164889.93
1637,185790.22
1638,232160.41
1639,192450.13
1640,261498.76
1641,194372.24
1642,219578.81
1643,229879.75
1644,219375.78
1645,212393.88
1646,172186.50
1647,170372.94
1648,140599.68
1649,141146.15
1650,122877.56
1651,121003.86
1652,110772.77
1653,110039.44
1654,170609.42
1655,163588.60
1656,167615.46
1657,170913.90
1658,158684.26
1659,135013.08
1660,144214.23
1661,434068.23
1662,372257.21
1663,370593.76
1664,476474.98
1665,320635.38
1666,325087.63
1667,363804.40
1668,334304.81
1669,297593.13
1670,344272.43
1671,263730.35
